model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_BestOfFamily_4_AutoML_2_20240520_120251,0.814353021506052,0.1565866697818071,0.2693280470526033,0.3406957391369482,0.2004180694827101,0.0401674025751764,467,0.014623,StackedEnsemble
StackedEnsemble_BestOfFamily_2_AutoML_2_20240520_120251,0.8134596274729207,0.1567331822077524,0.2679466890627408,0.3438669932181563,0.2003269241352476,0.0401308765334892,688,0.010071,StackedEnsemble
StackedEnsemble_AllModels_2_AutoML_2_20240520_120251,0.8133735096070909,0.1561189726807093,0.2744184621372723,0.3256400550671796,0.1998014677182843,0.0399206265023806,824,0.015764,StackedEnsemble
XGBoost_grid_1_AutoML_2_20240520_120251_model_1,0.8131195427840466,0.157010339478718,0.2645892082528873,0.3351755318443085,0.2007776933308943,0.0403116821392746,476,0.003386,XGBoost
StackedEnsemble_AllModels_1_AutoML_2_20240520_120251,0.8124579623630106,0.156487297517991,0.2714634972526582,0.3363577675573244,0.2000648386133409,0.0400259396493821,898,0.011039,StackedEnsemble
StackedEnsemble_BestOfFamily_3_AutoML_2_20240520_120251,0.8120618914652781,0.1569586313749034,0.2705374957281724,0.3375849951257452,0.2003319958735813,0.0401329085706925,573,0.00954,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_2_20240520_120251,0.8110554831554989,0.1567383248575632,0.2693269108559248,0.3446768740327848,0.2000938775485311,0.0400375598324065,773,0.008126,StackedEnsemble
XGBoost_3_AutoML_2_20240520_120251,0.8084995838596092,0.157847610881596,0.2682873833132824,0.3248425943076996,0.2007849301343479,0.0403145881690549,549,0.00338,XGBoost
XGBoost_1_AutoML_2_20240520_120251,0.8055809531517713,0.1590164164564624,0.2594233576137645,0.3437164994373413,0.2013561784257932,0.0405443105902398,974,0.005143,XGBoost
GBM_3_AutoML_2_20240520_120251,0.7988401807043998,0.161604441569471,0.2465439591298393,0.3575387596197851,0.2029918865516953,0.0412057060058163,701,0.008553,GBM
GBM_1_AutoML_2_20240520_120251,0.7985442379333818,0.1587155055756107,0.2626500510830574,0.3441012743908772,0.2005772103103561,0.0402312172958848,564,0.007345,GBM
GBM_5_AutoML_2_20240520_120251,0.7971831040750174,0.1631416663977865,0.2347370695940741,0.3581159220500888,0.2042709286380312,0.0417266122866436,447,0.006132,GBM
XGBoost_2_AutoML_2_20240520_120251,0.7971686277193477,0.1610961848975216,0.2590578127103858,0.345724134179586,0.2020269020449733,0.0408148691498892,836,0.004869,XGBoost
GBM_2_AutoML_2_20240520_120251,0.7953316385030264,0.1621499992683293,0.2416720745040665,0.3552828882786155,0.2034912868323423,0.0414087038166826,565,0.007043,GBM
GBM_4_AutoML_2_20240520_120251,0.7931358659717578,0.1635594554804006,0.2348608068245121,0.3328281414212732,0.2044182648515543,0.0417868270049202,706,0.007004,GBM
GLM_1_AutoML_2_20240520_120251,0.7834658797231989,0.1632490736081366,0.2466949320259231,0.3717597501819689,0.2027755846390194,0.0411179377256961,155,0.001071,GLM
GBM_grid_1_AutoML_2_20240520_120251_model_1,0.7768675403585991,0.1653781280534781,0.2288560370141195,0.3641388262768227,0.2037051090444583,0.0414957714508146,233,0.003976,GBM
DRF_1_AutoML_2_20240520_120251,0.775078778243836,0.1673892533964529,0.233211496144617,0.3662922938520343,0.2038196509871646,0.0415424501285296,788,0.008178,DRF
GBM_grid_1_AutoML_2_20240520_120251_model_2,0.759087888697004,0.1835541031689528,0.1900789533568131,0.3584154016580033,0.2116320138865784,0.0447881093016889,24,0.002039,GBM
XRT_1_AutoML_2_20240520_120251,0.7392661935311089,0.181551063272498,0.2144754644246736,0.3782263766438478,0.2081584429485748,0.0433299373707751,394,0.004538,DRF
XGBoost_grid_1_AutoML_2_20240520_120251_model_2,0.6550889270465152,0.2567795823999302,0.1831915763008647,0.3708940202451833,0.2436467846031333,0.0593637556474456,57,0.000642,XGBoost
